Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2021-11-06,19:00:00,Minnesota Wild,5,Pittsburgh Penguins,4,SO,17181.0,2:46,,Saturday
2021-11-06,22:30:00,New Jersey Devils,3,San Jose Sharks,2,SO,12019.0,2:33,,Saturday
2021-11-06,19:00:00,Boston Bruins,2,Toronto Maple Leafs,5,,19077.0,2:30,,Saturday
2021-11-06,19:00:00,New York Islanders,2,Winnipeg Jets,0,,13424.0,2:22,,Saturday
2021-11-06,19:00:00,Philadelphia Flyers,2,Washington Capitals,1,,18573.0,2:23,,Saturday
2021-11-07,20:00:00,St. Louis Blues,1,Anaheim Ducks,4,,12056.0,2:29,,Sunday
2021-11-07,19:00:00,Nashville Predators,1,Chicago Blackhawks,2,OT,16891.0,2:19,,Sunday
2021-11-07,18:00:00,Vegas Golden Knights,2,Detroit Red Wings,5,,16598.0,2:24,,Sunday
2021-11-07,20:00:00,New York Islanders,2,Minnesota Wild,5,,15547.0,2:17,,Sunday
2021-11-07,22:00:00,Dallas Stars,3,Vancouver Canucks,6,,18661.0,2:25,,Sunday
2021-11-08,19:00:00,Florida Panthers,3,New York Rangers,4,,14877.0,2:29,,Monday
2021-11-08,19:30:00,Los Angeles Kings,5,Toronto Maple Leafs,1,,18983.0,2:28,,Monday
2021-11-08,19:00:00,Buffalo Sabres,3,Washington Capitals,5,,18573.0,2:24,,Monday
2021-11-09,19:00:00,Ottawa Senators,2,Boston Bruins,3,,17850.0,2:35,,Tuesday
2021-11-09,21:00:00,San Jose Sharks,4,Calgary Flames,1,,14960.0,2:31,,Tuesday
2021-11-09,20:30:00,Pittsburgh Penguins,2,Chicago Blackhawks,3,SO,17736.0,2:41,,Tuesday
2021-11-09,19:30:00,Edmonton Oilers,2,Detroit Red Wings,4,,16953.0,2:25,,Tuesday
2021-11-09,19:00:00,Los Angeles Kings,3,Montreal Canadiens,2,OT,20042.0,2:41,,Tuesday
2021-11-09,19:00:00,Florida Panthers,3,New Jersey Devils,7,,10627.0,2:27,,Tuesday
2021-11-09,19:00:00,Carolina Hurricanes,2,Tampa Bay Lightning,1,OT,19092.0,2:37,,Tuesday
2021-11-09,22:00:00,Anaheim Ducks,3,Vancouver Canucks,2,OT,18201.0,2:27,,Tuesday
2021-11-09,22:00:00,Seattle Kraken,2,Vegas Golden Knights,4,,18246.0,2:26,,Tuesday
2021-11-09,20:00:00,St. Louis Blues,3,Winnipeg Jets,2,SO,14004.0,2:34,,Tuesday
2021-11-10,22:00:00,Minnesota Wild,5,Arizona Coyotes,2,,13488.0,2:23,,Wednesday
2021-11-10,20:30:00,Nashville Predators,4,Dallas Stars,2,,17560.0,2:22,,Wednesday
2021-11-10,19:30:00,Toronto Maple Leafs,3,Philadelphia Flyers,0,,17997.0,2:33,,Wednesday
2021-11-11,19:00:00,Edmonton Oilers,5,Boston Bruins,3,,17850.0,2:25,,Thursday
2021-11-11,21:00:00,Vancouver Canucks,1,Colorado Avalanche,7,,17226.0,2:23,,Thursday
2021-11-11,19:30:00,Washington Capitals,2,Detroit Red Wings,0,,16812.0,2:25,,Thursday
2021-11-11,19:00:00,Calgary Flames,2,Montreal Canadiens,4,,20399.0,2:27,,Thursday
2021-11-11,19:00:00,New York Islanders,0,New Jersey Devils,4,,13816.0,2:24,,Thursday
2021-11-11,19:00:00,Los Angeles Kings,2,Ottawa Senators,0,,8221.0,2:22,,Thursday
2021-11-11,19:00:00,Florida Panthers,2,Pittsburgh Penguins,3,SO,17194.0,2:39,,Thursday
2021-11-11,22:00:00,Anaheim Ducks,7,Seattle Kraken,4,,17151.0,2:26,,Thursday
2021-11-11,20:00:00,Nashville Predators,4,St. Louis Blues,3,OT,18096.0,2:31,,Thursday
2021-11-11,22:00:00,Minnesota Wild,2,Vegas Golden Knights,3,,18267.0,2:26,,Thursday
2021-11-11,20:00:00,San Jose Sharks,1,Winnipeg Jets,4,,14229.0,2:20,,Thursday
2021-11-12,19:00:00,Edmonton Oilers,2,Buffalo Sabres,3,,8258.0,2:34,,Friday
2021-11-12,19:00:00,Philadelphia Flyers,2,Carolina Hurricanes,1,,18680.0,2:36,,Friday
2021-11-12,19:00:00,Washington Capitals,4,Columbus Blue Jackets,3,,16985.0,2:24,,Friday
2021-11-12,20:30:00,Arizona Coyotes,1,Chicago Blackhawks,2,,17828.0,2:32,,Friday
2021-11-12,19:00:00,Calgary Flames,1,Toronto Maple Leafs,2,OT,18826.0,2:29,,Friday
2021-11-13,19:00:00,Toronto Maple Leafs,5,Buffalo Sabres,4,,7992.0,2:21,,Saturday
2021-11-13,19:30:00,St. Louis Blues,2,Carolina Hurricanes,3,,18680.0,2:22,,Saturday
2021-11-13,19:00:00,New York Rangers,5,Columbus Blue Jackets,3,,15539.0,2:29,,Saturday
2021-11-13,21:00:00,San Jose Sharks,2,Colorado Avalanche,6,,18015.0,2:28,,Saturday
2021-11-13,20:00:00,Philadelphia Flyers,2,Dallas Stars,5,,18532.0,2:31,,Saturday
2021-11-13,19:00:00,Montreal Canadiens,2,Detroit Red Wings,3,OT,18076.0,2:39,,Saturday
2021-11-13,13:00:00,Boston Bruins,5,New Jersey Devils,2,,16514.0,2:30,,Saturday
2021-11-13,20:00:00,Arizona Coyotes,1,Nashville Predators,4,,17159.0,2:29,,Saturday
2021-11-13,19:00:00,Pittsburgh Penguins,3,Ottawa Senators,6,,14661.0,2:22,,Saturday
2021-11-13,22:00:00,Minnesota Wild,4,Seattle Kraken,2,,17151.0,2:26,,Saturday
2021-11-13,19:00:00,Florida Panthers,2,Tampa Bay Lightning,3,OT,19092.0,2:40,,Saturday
2021-11-13,22:00:00,Vancouver Canucks,4,Vegas Golden Knights,7,,18264.0,2:36,,Saturday
2021-11-13,19:00:00,Los Angeles Kings,2,Winnipeg Jets,3,OT,13776.0,2:17,,Saturday
2021-11-14,20:00:00,Vancouver Canucks,1,Anaheim Ducks,5,,11892.0,2:21,,Sunday
2021-11-14,19:00:00,Montreal Canadiens,2,Boston Bruins,5,,17850.0,2:29,,Sunday
2021-11-14,19:00:00,New Jersey Devils,3,New York Rangers,4,SO,16130.0,2:53,,Sunday
